                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.90852,                 1.3138,                 1.1774,                0.58133,                0.70549,                0.69389,                 0.4307,                 1.2337,                 1.6205,                 1.2662,              0.0006792,              0.0006792,              0.0006792
                     56,                0.86251,                 1.3476,                 1.1443,                0.58133,                0.70549,                0.69389,                 0.4307,                 1.2337,                 1.6205,                 1.2662,             0.00066506,             0.00066506,             0.00066506
                     57,                0.90973,                  1.197,                 1.1225,                 0.7034,                  0.675,                0.68738,                  0.433,                  1.178,                 1.6553,                 1.2563,             0.00065091,             0.00065091,             0.00065091
                     58,                 0.9726,                 1.2114,                 1.1888,                 0.7034,                  0.675,                0.68738,                  0.433,                  1.178,                 1.6553,                 1.2563,             0.00063676,             0.00063676,             0.00063676
                     59,                0.96407,                  1.264,                  1.205,                0.70361,                0.71295,                0.70505,                0.45192,                 1.0609,                 1.6299,                 1.2028,             0.00062262,             0.00062262,             0.00062262
                     60,                0.88443,                 1.2003,                 1.0872,                0.70361,                0.71295,                0.70505,                0.45192,                 1.0609,                 1.6299,                 1.2028,             0.00060847,             0.00060847,             0.00060847
                     61,                0.96788,                  1.297,                 1.1702,                0.70917,                0.71365,                0.72124,                0.49513,                0.98485,                 1.5743,                 1.1939,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.9641,                  1.372,                 1.1679,                0.70917,                0.71365,                0.72124,                0.49513,                0.98485,                 1.5743,                 1.1939,             0.00058017,             0.00058017,             0.00058017
                     63,                  0.876,                 1.3169,                 1.1285,                0.67734,                0.74802,                0.74424,                0.51678,                0.94391,                 1.5459,                 1.1428,             0.00056603,             0.00056603,             0.00056603
                     64,                0.83732,                 1.1744,                 1.0991,                0.67734,                0.74802,                0.74424,                0.51678,                0.94391,                 1.5459,                 1.1428,             0.00055188,             0.00055188,             0.00055188
                     65,                0.90212,                 1.2372,                  1.136,                0.71952,                0.74349,                 0.7506,                0.50089,                0.97411,                 1.5007,                 1.1672,             0.00053773,             0.00053773,             0.00053773
                     66,                0.85245,                 1.1941,                 1.0674,                0.71952,                0.74349,                 0.7506,                0.50089,                0.97411,                 1.5007,                 1.1672,             0.00052359,             0.00052359,             0.00052359
                     67,                0.88824,                 1.1429,                 1.0793,                0.71701,                0.76536,                0.75009,                0.50682,                0.98343,                 1.5158,                 1.2002,             0.00050944,             0.00050944,             0.00050944
                     68,                0.85929,                  1.159,                 1.1307,                0.71701,                0.76536,                0.75009,                0.50682,                0.98343,                 1.5158,                 1.2002,             0.00049529,             0.00049529,             0.00049529
                     69,                0.88611,                 1.1586,                 1.1564,                0.71133,                   0.75,                0.73145,                0.48108,                0.99448,                 1.5066,                 1.2081,             0.00048114,             0.00048114,             0.00048114
                     70,                0.86978,                  1.062,                 1.0573,                0.71133,                   0.75,                0.73145,                0.48108,                0.99448,                 1.5066,                 1.2081,               0.000467,               0.000467,               0.000467
                     71,                0.87771,                 1.2075,                 1.1082,                0.61677,                0.93847,                0.72588,                0.47051,                 1.0054,                 1.5049,                 1.1919,             0.00045285,             0.00045285,             0.00045285
                     72,                0.91128,                 1.1626,                 1.1311,                0.61677,                0.93847,                0.72588,                0.47051,                 1.0054,                 1.5049,                 1.1919,              0.0004387,              0.0004387,              0.0004387
                     73,                0.90555,                 1.1349,                 1.1343,                0.60705,                0.95833,                 0.7115,                0.44801,                0.99784,                  1.503,                 1.1705,             0.00042456,             0.00042456,             0.00042456
                     74,                0.79209,                 1.0582,                 1.0624,                0.60705,                0.95833,                 0.7115,                0.44801,                0.99784,                  1.503,                 1.1705,             0.00041041,             0.00041041,             0.00041041
                     75,                0.88711,                 1.1072,                 1.0965,                0.73866,                0.74925,                0.71887,                0.46442,                0.98213,                 1.5081,                  1.167,             0.00039626,             0.00039626,             0.00039626
                     76,                 0.8551,                 1.1321,                 1.1166,                0.73866,                0.74925,                0.71887,                0.46442,                0.98213,                 1.5081,                  1.167,             0.00038211,             0.00038211,             0.00038211
                     77,                0.94393,                 1.2609,                 1.1857,                0.74464,                   0.75,                0.71538,                0.47713,                0.93541,                 1.4782,                 1.1504,             0.00036797,             0.00036797,             0.00036797
                     78,                0.86001,                 1.0877,                 1.1092,                0.74464,                   0.75,                0.71538,                0.47713,                0.93541,                 1.4782,                 1.1504,             0.00035382,             0.00035382,             0.00035382
                     79,                0.78487,                 1.0828,                 1.0819,                0.75075,                   0.75,                0.72737,                0.49494,                0.91652,                 1.4293,                 1.1386,             0.00033967,             0.00033967,             0.00033967
                     80,                0.83219,                 1.1257,                 1.0727,                0.75075,                   0.75,                0.72737,                0.49494,                0.91652,                 1.4293,                 1.1386,             0.00032553,             0.00032553,             0.00032553
                     81,                0.88455,                 1.1713,                 1.1073,                0.74855,                   0.75,                0.75712,                0.53508,                0.89814,                 1.4038,                 1.1248,             0.00031138,             0.00031138,             0.00031138
                     82,                0.85536,                 1.1886,                 1.0915,                0.74855,                   0.75,                0.75712,                0.53508,                0.89814,                 1.4038,                 1.1248,             0.00029723,             0.00029723,             0.00029723
                     83,                 0.7881,                 1.1537,                 1.0856,                0.74609,                   0.75,                0.77021,                0.55722,                0.87905,                 1.4071,                 1.1144,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.8173,                 1.0593,                 1.0688,                0.74609,                   0.75,                0.77021,                0.55722,                0.87905,                 1.4071,                 1.1144,             0.00026894,             0.00026894,             0.00026894
                     85,                0.77557,                 1.0897,                 1.0556,                0.74716,                0.74708,                0.76086,                0.55333,                 0.8641,                 1.4172,                 1.1095,             0.00025479,             0.00025479,             0.00025479
                     86,                0.81197,                 1.0766,                 1.0521,                0.74716,                0.74708,                0.76086,                0.55333,                 0.8641,                 1.4172,                 1.1095,             0.00024064,             0.00024064,             0.00024064
                     87,                 0.7959,                 1.1597,                 1.0822,                 0.7553,                0.73778,                0.73821,                  0.532,                0.87607,                 1.4242,                 1.1074,              0.0002265,              0.0002265,              0.0002265
                     88,                0.82936,                 1.1555,                 1.0894,                 0.7553,                0.73778,                0.73821,                  0.532,                0.87607,                 1.4242,                 1.1074,             0.00021235,             0.00021235,             0.00021235
                     89,                0.86566,                 1.1159,                 1.0933,                0.74331,                 0.7366,                0.74047,                0.53094,                0.88921,                 1.4261,                 1.1051,              0.0001982,              0.0001982,              0.0001982
                     90,                0.74686,                0.99158,                0.98586,                0.74331,                 0.7366,                0.74047,                0.53094,                0.88921,                 1.4261,                 1.1051,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.0233,                 1.8705,                 1.2231,                0.72799,                0.74419,                0.73743,                 0.5245,                0.87258,                 1.4273,                 1.1033,             0.00016991,             0.00016991,             0.00016991
                     92,                0.95234,                 1.8698,                 1.1338,                0.72799,                0.74419,                0.73743,                 0.5245,                0.87258,                 1.4273,                 1.1033,             0.00015576,             0.00015576,             0.00015576
                     93,                0.89774,                 1.6049,                 1.1077,                 0.7353,                0.74162,                0.73607,                0.53101,                 0.8719,                 1.4349,                 1.1034,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.0253,                 1.8075,                 1.3029,                 0.7353,                0.74162,                0.73607,                0.53101,                 0.8719,                 1.4349,                 1.1034,             0.00012747,             0.00012747,             0.00012747
                     95,                0.90353,                 1.6842,                 1.1049,                 0.7287,                0.72917,                 0.7363,                0.53249,                0.87037,                 1.4408,                 1.1042,             0.00011332,             0.00011332,             0.00011332
                     96,                 0.8885,                 1.5128,                 1.0882,                 0.7287,                0.72917,                 0.7363,                0.53249,                0.87037,                 1.4408,                 1.1042,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.86324,                 1.5785,                 1.0874,                0.73036,                0.72917,                0.73382,                0.52761,                0.86523,                 1.4389,                 1.1051,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.96656,                 1.6132,                  1.234,                0.73036,                0.72917,                0.73382,                0.52761,                0.86523,                 1.4389,                 1.1051,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.93827,                 1.4518,                 1.1468,                0.60297,                 0.9375,                0.73384,                0.52859,                0.86256,                 1.4391,                 1.1036,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.88598,                 1.4756,                  1.058,                0.60297,                 0.9375,                0.73384,                0.52859,                0.86256,                 1.4391,                 1.1036,             4.2584e-05,             4.2584e-05,             4.2584e-05
